"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"24 Rio Grande do Norte";"102,61";"71,14";"55,43";"57,20";"68,76";"71,01";"77,50";"85,73";"47,13";"1,03";"59,43";"77,37";"77,87";"70,03";"93,78";"63,09";"36,15";"82,95";"32,94";"68,69";"79,94";"18,50";"41,94";"35,50";"70,79";"74,39";"69,54"
"25 Paraíba";"105,13";"69,98";"60,31";"55,51";"75,27";"78,36";"82,92";"91,95";"53,67";"2,13";"64,00";"78,11";"77,37";"73,69";"104,00";"65,22";"33,41";"86,05";"34,64";"70,24";"77,32";"23,83";"39,83";"35,47";"71,96";"77,31";"72,60"
"26 Pernambuco";"111,75";"73,84";"62,10";"56,69";"75,71";"79,82";"85,48";"102,48";"52,52";"3,99";"66,50";"82,29";"84,91";"76,20";"98,22";"69,45";"39,15";"88,86";"34,23";"74,90";"94,92";"21,44";"52,94";"45,50";"76,94";"80,06";"75,66"
"27 Alagoas";"103,31";"71,22";"53,98";"52,49";"73,32";"77,97";"78,42";"85,24";"54,86";"1,74";"67,68";"81,21";"79,95";"75,70";"93,23";"66,65";"37,85";"75,90";"34,00";"73,86";"69,27";"20,08";"48,67";"40,27";"70,69";"77,92";"71,19"
"28 Sergipe";"104,20";"84,63";"62,68";"59,33";"77,41";"77,00";"83,13";"95,14";"58,24";"0,82";"64,61";"81,48";"83,01";"74,53";"103,58";"71,21";"38,49";"90,57";"34,29";"75,70";"90,73";"26,36";"40,64";"31,02";"74,10";"79,55";"74,74"
"29 Bahia";"100,41";"63,96";"52,89";"58,03";"69,50";"68,95";"72,91";"86,26";"43,66";"65,54";"60,99";"72,95";"76,78";"67,52";"102,42";"64,84";"34,82";"81,72";"30,54";"70,50";"77,30";"22,73";"35,32";"31,83";"71,42";"75,85";"72,62"
"31 Minas Gerais";"98,57";"71,41";"64,51";"73,72";"86,02";"83,47";"90,77";"94,60";"70,85";"75,37";"74,20";"86,85";"89,37";"83,07";"105,27";"79,82";"38,55";"88,70";"42,19";"82,96";"81,78";"33,54";"33,28";"37,51";"72,36";"77,95";"78,28"
"32 Espírito Santo";"101,80";"73,13";"66,60";"63,56";"94,44";"81,30";"89,76";"100,39";"68,79";"21,05";"72,92";"86,15";"86,70";"78,43";"104,57";"78,54";"40,48";"93,10";"41,29";"73,49";"91,54";"25,27";"51,77";"50,37";"76,08";"78,67";"77,30"
"33 Rio de Janeiro";"107,65";"63,73";"58,77";"64,07";"74,44";"75,72";"75,97";"96,60";"51,84";"8,01";"64,86";"75,54";"75,86";"67,60";"101,59";"68,32";"39,82";"88,83";"31,57";"63,30";"86,78";"30,18";"38,19";"41,05";"68,84";"72,34";"70,56"
"35 São Paulo";"104,11";"70,84";"65,22";"74,98";"80,68";"80,59";"86,58";"96,47";"72,50";"19,75";"68,81";"82,24";"84,02";"79,70";"103,64";"78,88";"46,71";"91,90";"41,18";"76,09";"98,54";"29,24";"37,27";"35,20";"71,87";"71,24";"72,85"
"41 Paraná";"101,81";"63,44";"64,74";"67,94";"88,81";"83,21";"88,77";"95,22";"74,81";"40,63";"73,37";"85,73";"88,46";"77,75";"101,83";"81,83";"66,03";"91,41";"47,23";"76,81";"91,36";"28,86";"34,30";"39,85";"72,61";"74,67";"75,70"
"42 Santa Catarina";"100,21";"72,18";"69,61";"73,61";"89,08";"84,35";"93,18";"95,56";"86,02";"20,80";"76,24";"88,27";"90,79";"82,57";"102,56";"82,72";"68,79";"90,61";"46,61";"78,98";"89,04";"27,06";"41,89";"42,63";"73,40";"73,79";"75,46"
"43 Rio Grande do Sul";"99,28";"66,70";"59,92";"63,22";"75,58";"80,12";"83,72";"91,33";"73,70";"24,07";"69,74";"80,52";"83,13";"76,77";"94,23";"76,88";"62,93";"86,80";"42,78";"72,96";"84,64";"22,88";"33,46";"34,57";"68,16";"73,12";"71,91"
"50 Mato Grosso do Sul";"108,16";"85,23";"70,53";"72,36";"84,79";"90,40";"94,19";"99,00";"79,84";"89,41";"75,57";"94,02";"94,51";"89,90";"106,32";"77,43";"67,90";"93,35";"45,13";"86,79";"85,49";"26,89";"50,07";"45,22";"77,41";"76,80";"80,94"
"51 Mato Grosso";"103,65";"78,07";"63,24";"64,68";"73,69";"80,37";"83,29";"95,96";"65,19";"80,40";"69,43";"82,86";"85,29";"76,91";"100,86";"73,63";"64,50";"87,83";"40,15";"75,57";"85,87";"22,81";"44,10";"40,64";"75,35";"76,43";"77,13"
"52 Goiás";"104,47";"65,19";"63,54";"66,90";"74,95";"78,25";"83,99";"91,95";"62,52";"80,65";"68,37";"80,01";"82,15";"75,08";"102,86";"72,40";"58,24";"88,13";"35,59";"67,71";"83,93";"27,89";"31,48";"39,05";"72,67";"80,41";"78,04"
"53 Distrito Federal";"110,47";"93,44";"65,07";"58,45";"88,24";"82,69";"85,31";"94,45";"73,54";"30,93";"73,61";"85,91";"88,49";"79,96";"95,79";"84,71";"68,81";"88,31";"40,47";"78,00";"5,74";"41,94";"53,89";"45,91";"70,22";"101,36";"84,15"
"Total";"104,49";"70,30";"60,95";"64,30";"77,98";"78,01";"82,45";"93,52";"60,70";"39,52";"67,25";"80,33";"82,33";"75,27";"100,99";"72,99";"47,22";"87,42";"37,11";"73,19";"85,98";"26,01";"39,76";"37,94";"71,98";"75,71";"74,29"
